CustomerID,TotalRevenue,Frequency,AOV,Cluster
12346.0,0.0,2,0.0,0
12347.0,4310.0,182,23.681318681318682,0
12348.0,1797.24,31,57.97548387096774,0
12349.0,1757.55,73,24.076027397260273,0
12350.0,334.4,17,19.670588235294115,0
12352.0,1545.41,95,16.267473684210525,0
12353.0,89.0,4,22.25,0
12354.0,1079.4,58,18.610344827586207,0
12355.0,459.4,13,35.33846153846154,0
12356.0,2811.43,59,47.65135593220339,0
12357.0,6207.67,131,47.38679389312977,0
12358.0,1168.06,19,61.47684210526315,0
12359.0,6245.53,254,24.588700787401574,0
12360.0,2662.06,129,20.63612403100775,0
12361.0,189.9,10,18.990000000000002,0
12362.0,5154.58,274,18.812335766423356,0
12363.0,552.0,23,24.0,0
12364.0,1313.1,85,15.448235294117646,0
12365.0,320.69,23,13.94304347826087,0
12367.0,168.9,11,15.354545454545455,0
12370.0,3545.69,167,21.231676646706585,0
12371.0,1887.96,63,29.96761904761905,0
12372.0,1298.04,52,24.962307692307693,0
12373.0,364.6,14,26.042857142857144,0
12374.0,742.93,33,22.513030303030302,0
12375.0,455.42,18,25.301111111111112,0
12377.0,1628.12,77,21.144415584415583,0
12378.0,4008.62,219,18.30420091324201,0
12379.0,850.29,41,20.738780487804878,0
12380.0,2720.56,105,25.910095238095238,0
12381.0,1803.96,91,19.823736263736265,0
12383.0,1839.31,100,18.3931,0
12384.0,566.16,30,18.872,0
12386.0,401.9,10,40.19,0
12388.0,2780.66,100,27.8066,0
12390.0,549.84,32,17.1825,0
12391.0,460.89,100,4.6089,0
12393.0,1582.6,64,24.728125,0
12394.0,1272.48,27,47.12888888888889,0
12395.0,2998.28,159,18.857106918238994,0
12397.0,2409.9,126,19.126190476190477,0
12398.0,1635.6599999999999,85,19.24305882352941,0
12399.0,1108.65,59,18.790677966101697,0
12401.0,84.3,5,16.86,0
12402.0,225.6,11,20.509090909090908,0
12403.0,409.7,6,68.28333333333333,0
12405.0,1710.3899999999999,54,31.673888888888886,0
12406.0,3280.75,108,30.377314814814813,0
12407.0,1708.12,77,22.18337662337662,0
12408.0,2842.57,113,25.155486725663717,0
12409.0,11056.93,114,96.99061403508772,0
12410.0,681.08,28,24.324285714285715,0
12412.0,1226.8799999999999,61,20.1127868852459,0
